"Bot","Bloco","Tracking","Category","Action","Condição de Execução"
"[DEV] Excecoes","Início","Track ""SPD Excecoes tipo de erro""","SPD Excecoes tipo de erro","{{exceptionType}}","context exists variable: exceptionType "
"[DEV] Excecoes","Início","Track ""SPD Excecoes origin""","SPD Excecoes origin","{{state@botOrigin}} | {{state@stateNameOrigin}} | {{state@lastInput}}","Sem condicionais para execução"
"[DEV] Excecoes","Exceções","Track ""SPD Excecoes erros inesperados""","SPD Excecoes erros inesperados","{{state.previous.id}}","Sem condicionais para execução"
"[DEV] Excecoes","[EX.0.0.0] Identifica exception","Track ""SPD Excecoes exceptionBlock""","SPD Excecoes exceptionBlock","{{exceptionBlockId}}","context exists variable: exceptionBlockId "
"[DEV] Excecoes","[EX.0.0.1] Redirecionar Main (Reiniciar fluxo)","Track ¨SPD Excecoes redirecionamento""","SPD Excecoes redirecionamento","Reiniciar fluxo","Sem condicionais para execução"
"[DEV] Excecoes","[EX.3.0.0] Cutuca","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[EX.3.0.0] Cutuca","Track ""SPD Excecoes cutuca input""","SPD Excecoes cutuca input","{{input.content}}","context exists variable: input.content "
"[DEV] Excecoes","[EX.3.0.0] Cutuca","Track ""SPD Excecoes cutuca retorno inatividade""","SPD Excecoes cutuca retorno inatividade","Retorno inatividade","input exists  "
"[DEV] Excecoes","[EX.3.0.0] Cutuca","Track ""SPD Excecoes cutuca encerramento inatividade""","SPD Excecoes cutuca encerramento inatividade","Encerramento","input notExists  "
"[DEV] Excecoes","[M.2.0.1] CPF invalido","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[M.2.0.1] Erro persistente","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","Redireciona serviço anterior (Bloco [INPUT])","Track ¨SPD Excecoes redirecionamento""","SPD Excecoes redirecionamento","Redireciona serviço","Sem condicionais para execução"
"[DEV] Excecoes","[M.3.1.1] Conta corrente invalida","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[M.4.1.0] Ec invalido","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[EX.1.0.0] Erro de lista","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[EX.4.0.0] Erro Persistente","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes redirecionamento menu inicial por erro persistente","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[EX.2.0.0] Erro de quickReply","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[EX.3.0.0] Erro generico","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[EX.5.0.0] Erro de audio","Track ""Áudio"" to ""1""","Áudio","1","Sem condicionais para execução"
"[DEV] Excecoes","[EX.5.0.0] Erro de audio","Track ""SPD excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[EX.5.0.1] Erro de imagem / sticker","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[EX.5.0.6] Erro de contato","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[EX.5.0.4] Erro de arquivo","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
"[DEV] Excecoes","[EX.5.0.3] Erro de localização","Track ""SPD Excecoes {state.name} exibição""","SPD Excecoes {{state.name}} exibição","Exibição","Sem condicionais para execução"
