"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] SPD Solucoes","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[BETA] SPD Solucoes","Exceções","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Solucoes","Exceções","Process ""userInput"" if input.content not exist","[""input.content""]","userInput","context notExists variable: input.content "
"[BETA] SPD Solucoes","[Redirect] To Finalizacao (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Solucoes","[Redirect] To WhatsApp PJ (atendente)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Solucoes","Vender com Link","elegivel script","[""statusCorpo""]","elegivel","context equals variable: statusLink value: 200"
"[BETA] SPD Solucoes","Vender com Link","Executar script","[""limiteValorDiario"",""valorUtilizado""]","resultado","context equals variable: statusLink value: 200"
"[BETA] SPD Solucoes","Vender com Link","VAlor script","[""statusCorpo""]","valorUtilizado","context equals variable: statusLink value: 200"
"[BETA] SPD Solucoes","Valor","valorValido","[""valor""]","valorValido","Sem condicionais para execução"
"[BETA] SPD Solucoes","Digite a mensagem","Executar script","[""mensagem""]","mensagemPadrao","Sem condicionais para execução"
"[BETA] SPD Solucoes","Confirmação","valor","[""valor""]","valorFormatado","Sem condicionais para execução"
"[BETA] SPD Solucoes","Vender com Link - API","valor","[""valor""]","valor","Sem condicionais para execução"
"[BETA] SPD Solucoes","Validação 2 - Valor","valorValido","[""valor""]","valorValido","Sem condicionais para execução"
"[BETA] SPD Solucoes","Possui limite","valorUtilizado","[""valorUtilizado""]","valorUtilizado","Sem condicionais para execução"
"[BETA] SPD Solucoes","Possui limite","valorLimiteDiario","[""valorLimiteDiario""]","valorLimiteDiario","Sem condicionais para execução"
"[BETA] SPD Solucoes","Valor maior que o valor usado","valorValido","[""valor""]","valorValido","Sem condicionais para execução"
"[BETA] SPD Solucoes","Script","statusSelecionado","[""bodyGestao"",""statusDoLink""]","statusSelecionado","Sem condicionais para execução"
"[BETA] SPD Solucoes","Script","tamanhoStatusSelecionado","[""statusSelecionado""]","sizeStatusSelecionado","Sem condicionais para execução"
"[BETA] SPD Solucoes","Script","dinamicoData","[""bodyGestao"",""statusDoLink""]","dinamicoDatas","Sem condicionais para execução"
"[BETA] SPD Solucoes","Script","linkSelecionado","[""bodyGestao"",""dataHoraLink""]","linkSelecionado","Sem condicionais para execução"
"[BETA] SPD Solucoes","Valor - Alterar","valorValido","[""valor""]","valorValido","Sem condicionais para execução"
"[BETA] SPD Solucoes","Digite a mensagem - Alterar","Executar script","[""mensagem""]","mensagemPadrao","Sem condicionais para execução"
"[BETA] SPD Solucoes","Validação - Valor","valorValido","[""valor""]","valorValido","Sem condicionais para execução"
"[BETA] SPD Solucoes","Digite a mensagem 2","Executar script","[""mensagem""]","mensagemPadrao","Sem condicionais para execução"
"[BETA] SPD Solucoes","Digite a mensagem 3","Executar script","[""mensagem""]","mensagemPadrao","Sem condicionais para execução"
"[BETA] SPD Solucoes","Digite a mensagem Erro","Executar script","[""mensagem""]","mensagemPadrao","Sem condicionais para execução"
"[BETA] SPD Solucoes","Digite a mensagem 2 [Duplicate]","Executar script","[""mensagem""]","mensagemPadrao","Sem condicionais para execução"
"[BETA] SPD Solucoes","Digite a mensagem 3 [Duplicate]","Executar script","[""mensagem""]","mensagemPadrao","Sem condicionais para execução"
"[BETA] SPD Solucoes","Digite a mensagem Erro [Duplicate]","Executar script","[""mensagem""]","mensagemPadrao","Sem condicionais para execução"
