"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[BETA] SPD Main","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[BETA] SPD Main","Início","Process ""telephone""","[""contact.identity""]","telephone","Sem condicionais para execução"
"[BETA] SPD Main","Exceções","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Main","Exceções","Process ""userInput"" if input.content not exist","[""input.content""]","userInput","context notExists variable: input.content "
"[BETA] SPD Main","[M.1.0.0][MSG][HTTP] Boas vindas","Process ""encodingUrl""","[""config.clientId"",""config.grantType"",""config.clientSecret""]","encodingUrl","Sem condicionais para execução"
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","Process ""contas""","[""bodyContas""]","contas","Sem condicionais para execução"
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","Process ""contaSelecionada""","[""contas""]","contaSelecionada","context lessThanOrEquals variable: contas@quantidadeContas value: 1"
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","Process ""apiStatus""","[""statusContas""]","apiStatus","Sem condicionais para execução"
"[BETA] SPD Main","[M.3.0.0][MSG][HTTP] Verifica contas","Process ""exibeSelecionarContas""","[""contas"",""state.name"",""idSessao""]","exibeSelecionarContas","context greaterThan variable: contas@quantidadeContas value: 1"
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Process ""contaSelecionada""","[""contaSelecionada"",""bodyDadosConta"",""bodyUsuarios"",""contact.extras.cpf""]","contaSelecionada","Sem condicionais para execução"
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Process ""ecList""","[""bodyEC""]","ecList","Sem condicionais para execução"
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Process ""selectedEc""","[""ecList""]","selectedEc","Sem condicionais para execução"
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Process ""apiStatus""","[""statusDadosConta"",""statusUsuarios"",""statusEC""]","apiStatus","Sem condicionais para execução"
"[BETA] SPD Main","[M.4.0.0][MSG][HTTP] Obtem EC","Process ""exibeSelecionarEc""","[""ecList"",""idSessao"",""state.name""]","exibeSelecionarEc","context greaterThan variable: ecList@ecQuantity value: 1"
"[BETA] SPD Main","[M.5.0.0][MSG] Menu Principal","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc"",""contaSelecionada""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Main","[Redirect] To Maquina Safrapay","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","phone","[""contact.identity""]","phone","Sem condicionais para execução"
"[BETA] SPD Main","[Temporario][OLD] Redireciona ao serviço","Process ""state""","[""userInput"",""config.env"",""state.previous.id"",""cpfAppKey"",""config.serviceName"",""state.previous.name""]","state","Sem condicionais para execução"
"[BETA] SPD Main","[M.5.3.0][MSG]Menu Conta Corrente","Process ""dynamicContent""","[""cpfAppKey"",""selectedEc""]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Main","[M.5.3.1][MSG] Menu Extratos","Process ""dynamicContent""","[]","dynamicContent","Sem condicionais para execução"
"[BETA] SPD Main","[M.2.0.1][INPUT] Valida CPF","Process ""userInput""","[""input.content"",""exception""]","userInput","Sem condicionais para execução"
"[BETA] SPD Main","[M.3.1.1][INPUT] Valida Seleção de conta","Process ""userInput""","[""input.content"",""contas""]","userInput","Sem condicionais para execução"
"[BETA] SPD Main","[M.4.1.1][INPUT] Valida Seleção de ec","Process ""userInput""","[""input.content"",""ecList""]","userInput","Sem condicionais para execução"
"[BETA] SPD Main","[M.5.0.0][INPUT] Menu Principal","Process ""userInput""","[""input.content"",""dynamicContent""]","userInput","Sem condicionais para execução"
