"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[DEV] Excecoes","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[DEV] Excecoes","[EX.0.0.0] Identifica exception","Process ""exceptionBlockId"" when ""exceptionTypeMedia""","[""exceptionTypeMedia""]","exceptionBlockId","context notEquals variable: exceptionTypeMedia value: false"
"[DEV] Excecoes","[EX.0.0.0] Identifica exception","Process ""exceptionBlockId""","[""errorCounter"",""exceptionType"",""state""]","exceptionBlockId","context equals variable: exceptionTypeMedia value: false"
"[DEV] Excecoes","[EX.0.0.1] Redirecionar Main (Reiniciar fluxo)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] Excecoes","[EX.3.0.0] Cutuca","Process ""msgCutuca""","[""contaSelecionada""]","msgCutuca","Sem condicionais para execução"
"[DEV] Excecoes","Redireciona serviço anterior (Bloco [INPUT])","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env"",""state""]","state","Sem condicionais para execução"
"[DEV] Excecoes","Redireciona serviço de Finalizacao (Welcome)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] Excecoes","[EX.6.0.0] Validação erro API","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] Excecoes","Redirecionar Main (Menu inicial)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] Excecoes","Redireciona serviço anterior (Bloco [MSG])","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env"",""state"",""voltarState""]","state","Sem condicionais para execução"
"[DEV] Excecoes","[M.2.0.1] [INPUT] Erro persistente","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] Excecoes","Redireciona serviço anterior erro tipo","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env"",""state"",""voltarState""]","state","Sem condicionais para execução"
"[DEV] Excecoes","[EX.X.X.X] [INPUT] Erro persistente","Process ""userInput""","[""input.content""]","userInput","Sem condicionais para execução"
"[DEV] Excecoes","Redirecionar WhatsApp Pj (Atendente)","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] Excecoes","[MS.7.2.1] Data incorreta","Process ""msgDataIncorreta""","[""userInput"",""contaSelecionada""]","msgDataIncorreta","Sem condicionais para execução"
