"Bot","Bloco","Script","Variavel de entrada","Variavel de saida","Condição de Execução"
"[DEV] SPD Taxas e Condicoes","Início","Process ""blockDestinationId""","[""state"",""config.serviceName""]","blockDestinationId","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","Exceções","Process ""state""","[""state.previous.id"",""state.previous.name"",""input.content"",""userInput"",""config.serviceName"",""config.env""]","state","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","Exceções","PROCESS ""currentDate""","[]","currentDate","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","Exceções","Process ""voltarState""","[""voltarState"",""state.previous.id"",""config.serviceName"",""lastVoltarState""]","voltarState","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Process ""taxaAntecipacao""","[""taxaBody""]","taxaAntecipacao","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Process ""taxaModalidade""","[""taxaAntecipacao""]","taxaModalidade","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.3.0.0][HTTP] API Taxas de Antecipação","Process ""apiStatus""","[""taxaStatus"",""taxaVendasStatus""]","apiStatus","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Process ""tipoMaquina""","[""consultMaquina""]","tipoMaquina","context equals variable: consultMaquinaStatus value: 200"
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Process ""sizeMaquinas""","[""consultMaquina""]","sizeMaquinas","context equals variable: consultMaquinaStatus value: 200"
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Process ""modalidadeMaquina""","[""tipoMaquina""]","modalidadeMaquina","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Process ""apiStatus""","[""consultMaquinaStatus""]","apiStatus","Sem condicionais para execução"
"[DEV] SPD Taxas e Condicoes","[TC.4.0.0][HTTP] API Consultar Máquinas","Process ""numeroSerie""","[""consultMaquina""]","numeroSerie","context equals variable: consultMaquinaStatus value: 200"
